id;name;code;is_external;date_creation;date_modify;last_modify_by;created_by;notes
1;Alsace;utilize;true;2023-05-22T05:19:22;2023-05-21T21:01:20;relationships a;visualize;../fake-data/blob/hipster.txt
2;leading-edge;empower Intelligent Forint;true;2023-05-21T19:31:21;2023-05-21T23:57:13;hack;Handcrafted b Rhône-Alpes;../fake-data/blob/hipster.txt
3;Pierre panel Sausages;Caumartin Basse-Normandie;false;2023-05-22T06:37:54;2023-05-22T00:15:13;monetize;pixel SCSI a;../fake-data/blob/hipster.txt
4;Unbranded Kids intermediate;cyan Generic;true;2023-05-22T03:53:51;2023-05-22T05:02:28;dedicated array;Richelieu Consultant withdrawal;../fake-data/blob/hipster.txt
5;leverage Architecte;Frozen;true;2023-05-22T17:12:19;2023-05-22T16:49:14;Aruban b;Gorgeous;../fake-data/blob/hipster.txt
6;Grocery Shilling;fuchsia;false;2023-05-22T15:07:16;2023-05-22T12:29:04;Small Soft Picardie;Steel;../fake-data/blob/hipster.txt
7;convergence;Games;false;2023-05-22T08:32:42;2023-05-21T19:48:32;Towels Wooden;Cedi Ball Tasty;../fake-data/blob/hipster.txt
8;Bedfordshire paradigms PCI;b Pataca;true;2023-05-22T12:16:45;2023-05-21T18:45:46;b;Burundi Bike Berkshire;../fake-data/blob/hipster.txt
9;c platforms;SAS Health;false;2023-05-22T10:51:20;2023-05-21T22:10:25;feed Ergonomic Soft;Bedfordshire navigate;../fake-data/blob/hipster.txt
10;Cotton;driver Organized Haute-Normandie;false;2023-05-21T23:30:42;2023-05-21T22:54:22;Intuitive;invoice open Technicien;../fake-data/blob/hipster.txt
