id;name;code;start_date;real_endt_date;project_description;initial_end_date;initial_cost;initial_work_load;date_creation;date_modify;last_modify_by;created_by;notes;alertes;todo;progress;project_status_code_id
1;contextually-based Alsace Fresh;Table Moldavie;2023-05-22;2023-05-22;../fake-data/blob/hipster.txt;2023-05-22;97216;73781;2023-05-22T02:54:00;2023-05-22T04:25:14;utilize;Concrete USB;../fake-data/blob/hipster.txt;benchmark European;redefine Keyboard;62514;1
2;Grenade digital;Malagasy de Practical;2023-05-22;2023-05-22;../fake-data/blob/hipster.txt;2023-05-21;10390;79445;2023-05-21T19:09:52;2023-05-22T17:56:21;index Diverse;a copying;../fake-data/blob/hipster.txt;Paris Buckinghamshire Keyboard;Midi-Pyrénées;79826;2
3;navigating Intelligent;Directeur Euro c;2023-05-22;2023-05-21;../fake-data/blob/hipster.txt;2023-05-22;41068;89858;2023-05-22T01:40:11;2023-05-22T04:38:23;Up-sized Jewelery application;calculate back-end;../fake-data/blob/hipster.txt;program;input;73409;3
4;Small;invoice digital parsing;2023-05-21;2023-05-22;../fake-data/blob/hipster.txt;2023-05-22;67207;24678;2023-05-21T18:28:21;2023-05-22T02:18:46;next-generation;Gloves;../fake-data/blob/hipster.txt;Vaneau world-class;indexing Bedfordshire;98807;4
5;a impactful;matrix;2023-05-21;2023-05-22;../fake-data/blob/hipster.txt;2023-05-22;82865;72692;2023-05-21T18:58:54;2023-05-22T15:16:32;Ball Cross-group compelling;Croatie;../fake-data/blob/hipster.txt;vortals;de;58620;5
6;blue;Pompe;2023-05-22;2023-05-21;../fake-data/blob/hipster.txt;2023-05-22;80870;27305;2023-05-22T04:49:09;2023-05-21T19:14:49;hack program;Sainte-Lucie;../fake-data/blob/hipster.txt;JBOD;exploit;46166;6
7;mobile strategy;eco-centric;2023-05-22;2023-05-22;../fake-data/blob/hipster.txt;2023-05-22;50407;70919;2023-05-22T08:08:10;2023-05-22T06:38:59;firewall;hacking;../fake-data/blob/hipster.txt;harness bypass;leading-edge;46128;7
8;olive deliverables;salmon;2023-05-22;2023-05-22;../fake-data/blob/hipster.txt;2023-05-22;14435;93114;2023-05-21T22:44:51;2023-05-21T21:21:15;Technicien;Poitou-Charentes;../fake-data/blob/hipster.txt;Computer e-business;invoice Bhutanese;71000;8
9;morph object-oriented;payment Papouasie-Nouvelle-Guinée;2023-05-22;2023-05-22;../fake-data/blob/hipster.txt;2023-05-22;22638;31298;2023-05-22T03:47:35;2023-05-21T19:03:43;Kwacha Fantastic;Account Electronics;../fake-data/blob/hipster.txt;Customizable Plastic;compressing Market;68956;9
10;Wooden purple;directional Granite;2023-05-22;2023-05-22;../fake-data/blob/hipster.txt;2023-05-21;20405;17635;2023-05-22T16:43:14;2023-05-22T07:44:22;engine Tasty Iranian;Music;../fake-data/blob/hipster.txt;pixel User-centric;Directeur Saint-Dominique USB;2304;10
