id;status_date;status_title;updated_progress;updated_workload_eac;updated_end_date;updated_cost;date_creation;date_modify;last_modify_by;created_by;notes
1;2023-05-21;infomediaries Expanded;45;9573;2023-05-21;58145;2023-05-21T19:18:46;2023-05-21T23:41:15;line quantifying Money;purple Grass-roots;Somoni
2;2023-05-21;Égypte multi-byte;24;9373;2023-05-22;96715;2023-05-21T18:36:15;2023-05-22T00:44:59;object-oriented Fantastic;bi-directional;b Champagne-Ardenne
3;2023-05-21;Granite;98;61701;2023-05-21;96332;2023-05-21T19:24:22;2023-05-21T23:36:56;navigate Account c;systems Money;program Picardie Timor
4;2023-05-22;array Keyboard transmitter;19;30852;2023-05-22;18136;2023-05-22T07:59:12;2023-05-22T03:52:56;application Bedfordshire Fresh;Hat;benchmark
5;2023-05-22;Producteur Music;30;79534;2023-05-22;38845;2023-05-22T00:54:27;2023-05-22T06:38:10;Loan;help-desk;Organic
6;2023-05-21;b frictionless Borders;12;80168;2023-05-22;99095;2023-05-22T13:04:22;2023-05-22T09:29:24;synergistic;Realigned;cross-platform paradigms
7;2023-05-22;adapter intranet;96;34834;2023-05-21;83208;2023-05-22T16:51:47;2023-05-22T07:56:54;Superviseur c;Fidji;Grocery b
8;2023-05-22;facilitate monitor Handmade;56;4278;2023-05-22;4783;2023-05-22T17:42:06;2023-05-21T18:49:38;Alsace Concrete Cambridgeshire;protocol;blue Towels
9;2023-05-22;paradigms;34;32653;2023-05-22;29397;2023-05-22T00:32:33;2023-05-21T23:08:22;invoice Home Bedfordshire;Soap web-readiness;deposit
10;2023-05-21;Granite SQL b;85;15360;2023-05-22;51647;2023-05-21T23:41:31;2023-05-22T04:22:51;user;Borders Fantastic;Buckinghamshire core
